Process started. PID: 196, Time: 2025-01-20 20:00:27.468
2025-01-20 20:00:28.475 - PID: 196 - Counter: 3
2025-01-20 20:00:29.481 - PID: 196 - Counter: 6
2025-01-20 20:00:30.488 - PID: 196 - Counter: 10
Child 1 started. PID: 17312, Time: 2025-01-20 20:00:30.533
Child 1 exiting. PID: 17312, Time: 2025-01-20 20:00:30.534
Child 2 started. PID: 7556, Time: 2025-01-20 20:00:30.569
2025-01-20 20:00:31.564 - PID: 196 - Counter: 43
2025-01-20 20:00:32.569 - PID: 196 - Counter: 46
Child 2 exiting. PID: 7556, Time: 2025-01-20 20:00:32.572
2025-01-20 20:00:33.574 - PID: 196 - Counter: 27
Child 1 started. PID: 20944, Time: 2025-01-20 20:00:33.590
Child 1 exiting. PID: 20944, Time: 2025-01-20 20:00:33.591
Child 2 started. PID: 28984, Time: 2025-01-20 20:00:33.593
2025-01-20 20:00:34.589 - PID: 196 - Counter: 77
Child 2 exiting. PID: 28984, Time: 2025-01-20 20:00:35.595
2025-01-20 20:00:35.598 - PID: 196 - Counter: 40
2025-01-20 20:00:36.604 - PID: 196 - Counter: 43
Child 1 started. PID: 24800, Time: 2025-01-20 20:00:36.623
Child 1 exiting. PID: 24800, Time: 2025-01-20 20:00:36.623
Child 2 started. PID: 25848, Time: 2025-01-20 20:00:36.624
2025-01-20 20:00:37.621 - PID: 196 - Counter: 109
2025-01-20 20:00:38.626 - PID: 196 - Counter: 113
Child 2 exiting. PID: 25848, Time: 2025-01-20 20:00:38.628
2025-01-20 20:00:39.634 - PID: 196 - Counter: 13243
Child 1 started. PID: 29200, Time: 2025-01-20 20:00:39.654
Child 1 exiting. PID: 29200, Time: 2025-01-20 20:00:39.656
Child 2 started. PID: 26904, Time: 2025-01-20 20:00:39.657
2025-01-20 20:00:40.650 - PID: 196 - Counter: 26509
2025-01-20 20:00:41.655 - PID: 196 - Counter: 26513
Child 2 exiting. PID: 26904, Time: 2025-01-20 20:00:41.661
2025-01-20 20:00:42.660 - PID: 196 - Counter: 13259
Child 1 started. PID: 25504, Time: 2025-01-20 20:00:42.681
Child 1 exiting. PID: 25504, Time: 2025-01-20 20:00:42.683
Child 2 started. PID: 28868, Time: 2025-01-20 20:00:42.685
2025-01-20 20:00:43.673 - PID: 196 - Counter: 26541
2025-01-20 20:00:44.681 - PID: 196 - Counter: 26545
